#Quantes vegades vols fer f(x)?
#Quin vols que sigui el pas?
#quin vols que sigui h?
1.100000e-01 9.497646e-01 2.716466e+00 4.646866e-01 -5.283837e+00
1.110000e-01 9.524390e-01 2.632506e+00 4.594288e-01 -5.231617e+00
1.120000e-01 9.550298e-01 2.549138e+00 4.542239e-01 -5.177786e+00
1.130000e-01 9.575375e-01 2.466361e+00 4.490737e-01 -5.122433e+00
1.140000e-01 9.599627e-01 2.384175e+00 4.439795e-01 -5.065649e+00
1.150000e-01 9.623060e-01 2.302577e+00 4.389428e-01 -5.007517e+00
1.160000e-01 9.645681e-01 2.221566e+00 4.339649e-01 -4.948123e+00
1.170000e-01 9.667494e-01 2.141141e+00 4.290470e-01 -4.887548e+00
1.180000e-01 9.688505e-01 2.061299e+00 4.241902e-01 -4.825872e+00
1.190000e-01 9.708722e-01 1.982040e+00 4.193956e-01 -4.763172e+00
1.200000e-01 9.728148e-01 1.903361e+00 4.146642e-01 -4.699523e+00
1.210000e-01 9.746791e-01 1.825262e+00 4.099968e-01 -4.635000e+00
1.220000e-01 9.764655e-01 1.747741e+00 4.053944e-01 -4.569673e+00
1.230000e-01 9.781747e-01 1.670796e+00 4.008577e-01 -4.503613e+00
1.240000e-01 9.798073e-01 1.594425e+00 3.963874e-01 -4.436887e+00
1.250000e-01 9.813638e-01 1.518628e+00 3.919842e-01 -4.369561e+00
1.260000e-01 9.828447e-01 1.443403e+00 3.876485e-01 -4.301698e+00
1.270000e-01 9.842508e-01 1.368748e+00 3.833809e-01 -4.233362e+00
1.280000e-01 9.855824e-01 1.294661e+00 3.791819e-01 -4.164613e+00
1.290000e-01 9.868403e-01 1.221141e+00 3.750518e-01 -4.095508e+00
1.300000e-01 9.880249e-01 1.148188e+00 3.709910e-01 -4.026105e+00
1.310000e-01 9.891369e-01 1.075798e+00 3.669997e-01 -3.956460e+00
1.320000e-01 9.901767e-01 1.003970e+00 3.630781e-01 -3.886626e+00
1.330000e-01 9.911450e-01 9.327041e-01 3.592265e-01 -3.816654e+00
1.340000e-01 9.920423e-01 8.619973e-01 3.554448e-01 -3.746595e+00
1.350000e-01 9.928692e-01 7.918485e-01 3.517333e-01 -3.676498e+00
1.360000e-01 9.936262e-01 7.222561e-01 3.480918e-01 -3.606409e+00
1.370000e-01 9.943139e-01 6.532187e-01 3.445205e-01 -3.536375e+00
1.380000e-01 9.949328e-01 5.847346e-01 3.410191e-01 -3.466440e+00
1.390000e-01 9.954835e-01 5.168024e-01 3.375875e-01 -3.396646e+00
1.400000e-01 9.959666e-01 4.494206e-01 3.342257e-01 -3.327034e+00
1.410000e-01 9.963825e-01 3.825876e-01 3.309334e-01 -3.257644e+00
1.420000e-01 9.967319e-01 3.163019e-01 3.277103e-01 -3.188514e+00
1.430000e-01 9.970153e-01 2.505619e-01 3.245563e-01 -3.119682e+00
1.440000e-01 9.972332e-01 1.853663e-01 3.214709e-01 -3.051182e+00
1.450000e-01 9.973862e-01 1.207133e-01 3.184538e-01 -2.983050e+00
